Experiment,Architecture,Activation,LR,Batch Size,Epochs Run,Train Acc,Test Acc,Precision,Recall,F1-Score,AUC-ROC
Exp 1: Baseline,"(64, 32)",relu,0.001,32,12,0.9831,0.985,0.0,0.0,0.0,0.7458
Exp 2: Deeper Network,"(128, 64, 32)",relu,0.001,32,12,0.9806,0.98,0.25,0.1667,0.2,0.8752
Exp 3: Higher LR,"(64, 32)",relu,0.01,32,14,0.8394,0.8275,0.0685,0.8333,0.1266,0.9095
Exp 4: Lower LR,"(64, 32)",relu,0.0001,32,15,0.7913,0.7875,0.0353,0.5,0.0659,0.7246
Exp 5: tanh Activation,"(64, 32)",tanh,0.001,32,13,0.8906,0.89,0.1042,0.8333,0.1852,0.9298
Exp 6: Large Batch,"(64, 32)",relu,0.001,128,14,0.8775,0.875,0.06,0.5,0.1071,0.8494
